gene_id,Apoly_Dec_1,Apoly_Dec_2,Apoly_Dec_3,Apoly_Dec_4,Apoly_Dec_5,Apoly_Feb_1,Apoly_Feb_2,Apoly_Feb_3,Apoly_Feb_4,Apoly_Feb_5
gene-LOC110958734|LOC110958734,202,170,175,148,177,264,160,163,197,203
gene-LOC110962787|LOC110962787,3,4,4,6,5,2,3,0,3,0
gene-LOC110958936|LOC110958936,4,0,7,10,9,4,0,9,7,11
gene-trnat-cgu-21|trnat-cgu,0,0,0,0,0,0,0,0,0,0
gene-LOC110961351|LOC110961351,0,0,0,0,0,0,0,0,0,0
gene-secisbp2l|secisbp2l,183,131,272,119,156,64,121,85,159,84
gene-LOC110972239|LOC110972239,10,5,8,9,2,0,4,0,0,0
gene-LOC110972958|LOC110972958,0,0,0,0,0,0,0,0,0,0
gene-LOC110946587|LOC110946587,0,1,0,0,0,0,0,0,1,0
gene-LOC110967621|LOC110967621,51,22,13,29,18,3,4,13,3,0
gene-fgf19|fgf19,69,27,42,45,3,13,4,5,0,0
gene-rbsn|rbsn,41,54,54,52,58,18,25,75,32,16
gene-LOC110950759|LOC110950759,228,209,180,212,188,112,136,172,137,112
gene-LOC110951952|LOC110951952,0,4,4,0,0,0,0,0,0,0
gene-cct2|cct2,451,763,733,610,688,625,1014,1249,1093,1061
gene-LOC110949912|LOC110949912,0,0,0,0,0,0,0,0,0,0
gene-LOC110954070|LOC110954070,109,140,178,106,226,270,273,270,384,246
gene-nol8|nol8,24,6,28,23,30,11,26,68,48,63
gene-rab22a|rab22a,80,60,36,51,83,25,55,69,52,49
gene-LOC110961888|LOC110961888,0,0,0,0,0,0,0,0,0,0
gene-rcc1|rcc1,59,89,100,71,130,115,118,175,175,234
gene-LOC110963994|LOC110963994,20,25,27,26,19,7,17,21,9,9
gene-LOC110965947|LOC110965947,18,21,25,29,31,6,21,8,20,18
gene-tmem186|tmem186,3,10,15,16,19,24,36,31,35,40
gene-cunh19orf25|cunh19orf25,35,42,38,29,47,28,81,114,67,39
gene-cep350|cep350,22,36,29,51,22,8,23,28,51,47
gene-mrps10|mrps10,35,29,16,26,28,12,18,59,35,47
gene-LOC110960573|LOC110960573,17,4,5,7,14,5,2,5,6,6
gene-LOC110960932|LOC110960932,0,0,0,0,0,0,0,0,0,0
gene-trnas-uga-8|trnas-uga,0,0,0,0,0,0,0,0,0,0
gene-LOC110970669|LOC110970669,14,22,60,46,46,55,23,43,31,30
gene-LOC110950101|LOC110950101,0,2,5,0,0,0,0,0,0,2
gene-LOC110945267|LOC110945267,0,0,0,0,0,0,0,0,0,0
gene-LOC110954257|LOC110954257,2,0,0,0,4,0,0,0,0,2
gene-phf5a|phf5a,16,25,5,25,14,9,3,27,23,13
gene-trnak-uuu-19|trnak-uuu,0,0,0,0,0,0,0,0,0,0
gene-ndufa3|ndufa3,90,94,68,71,93,121,104,119,69,62
gene-LOC110957812|LOC110957812,0,0,0,0,0,0,0,0,0,0
gene-pak2|pak2,85,107,109,118,150,103,104,133,139,151
gene-LOC110947967|LOC110947967,50,60,111,65,125,103,81,77,114,92
gene-spty2d1|spty2d1,31,48,79,50,84,65,152,173,188,196
gene-tmem151b|tmem151b,0,0,0,0,0,0,0,0,0,0
gene-cxcl12|cxcl12,4,9,9,3,3,11,13,11,6,10
gene-LOC110960765,0,0,0,0,0,0,0,0,0,0
gene-rbks|rbks,127,102,90,90,77,25,36,80,33,48
gene-dgkq|dgkq,4,0,5,3,0,0,0,0,3,3
gene-LOC110960233|LOC110960233,0,0,0,14,28,5,0,0,0,0
gene-ilf3|ilf3,85,83,78,66,96,81,80,96,105,82
gene-LOC110954705|LOC110954705,0,5,6,2,3,5,0,0,5,3
gene-LOC110962949|LOC110962949,0,0,0,0,0,0,0,0,0,0
gene-stag1|stag1,44,31,30,36,35,18,10,23,10,10
gene-LOC110948115|LOC110948115,5,5,6,5,12,26,24,19,20,14
gene-gal|gal,0,0,0,0,0,0,0,0,0,0
gene-LOC110954755|LOC110954755,0,2,5,6,3,0,7,0,0,0
gene-LOC110958242|LOC110958242,113,113,55,82,78,42,57,120,47,48
gene-LOC110950482|LOC110950482,32,27,37,16,14,7,9,7,15,8
gene-LOC110947948|LOC110947948,28,8,12,9,18,9,12,7,0,8
gene-LOC110969728|LOC110969728,0,0,0,3,0,0,0,0,0,2
gene-LOC110967507|LOC110967507,0,0,0,0,2,0,0,0,0,0
gene-cfap36|cfap36,32,28,32,15,13,10,15,9,12,15
gene-LOC110956167|LOC110956167,0,0,6,0,0,2,1,0,0,0
gene-LOC110958241|LOC110958241,2,4,7,0,3,2,8,2,4,9
gene-spns1|spns1,223,314,284,258,292,245,257,463,382,316
gene-LOC110970246|LOC110970246,0,0,0,0,0,0,0,0,0,0
gene-LOC110945594|LOC110945594,2,5,5,2,2,7,4,7,3,2
gene-LOC110972438|LOC110972438,0,0,0,0,0,0,0,0,0,0
STRG.270|LOC110948211,2,7,5,16,7,11,14,14,8,11
gene-LOC110960407|LOC110960407,0,4,0,0,0,0,0,0,0,0
gene-trnag-ucc-21|trnag-ucc,0,0,0,0,0,0,0,0,0,0
gene-march2|march2,202,103,165,80,120,80,133,52,70,106
gene-mad2l1|mad2l1,54,17,30,57,116,0,3,0,0,0
gene-pno1|pno1,290,216,278,203,264,669,306,530,429,425
gene-LOC110946002|LOC110946002,0,0,0,0,0,0,0,0,0,0
gene-LOC110967786|LOC110967786,0,0,0,0,0,0,0,0,0,0
STRG.19676|LOC110947547,2,5,2,2,2,0,1,1,1,3
gene-LOC110968899|LOC110968899,0,0,0,0,0,0,0,0,0,0
gene-LOC110949669|LOC110949669,8,0,5,9,21,2,0,4,6,0
gene-timm9|timm9,61,41,29,27,44,30,28,53,42,35
gene-LOC110958100|LOC110958100,0,0,0,0,0,0,0,0,0,0
gene-LOC110946777|LOC110946777,25,22,61,19,36,17,48,40,55,36
gene-LOC110972475|LOC110972475,13591,17080,17137,18037,29500,20191,23441,29744,28588,18551
gene-LOC110946708|LOC110946708,0,0,0,0,0,0,0,0,0,0
gene-tomm70|tomm70,165,211,229,179,275,174,323,383,418,315
gene-cnnm2|cnnm2,0,0,0,0,0,0,0,0,0,0
gene-LOC110959188|LOC110959188,8,11,7,6,5,4,12,38,11,15
gene-LOC110970760|LOC110970760,0,0,0,0,0,0,0,0,0,0
gene-pex14|pex14,187,113,82,82,89,9,4,24,9,11
gene-map3k3|map3k3,4,6,6,16,6,4,8,8,6,5
gene-LOC110960373|LOC110960373,28,58,43,27,33,38,34,19,18,19
gene-uck1|uck1,146,160,245,212,268,87,148,157,181,120
gene-LOC110971493|LOC110971493,0,0,0,3,0,0,0,0,0,2
gene-LOC110961590|LOC110961590,0,0,0,0,0,0,0,0,0,0
gene-med19|med19,54,58,107,84,113,107,113,92,86,71
gene-LOC110955982|LOC110955982,11,7,0,5,10,0,4,0,4,0
gene-LOC110950377|LOC110950377,41,38,51,32,60,37,70,62,87,52
gene-LOC110952440|LOC110952440,0,11,13,4,7,22,27,34,38,23
gene-LOC110970012|LOC110970012,1424,440,964,332,662,469,1269,536,795,320
gene-rplp0|rplp0,17567,16339,12693,20326,15200,16161,12785,13964,11101,10562
gene-LOC110959381|LOC110959381,0,0,0,0,0,0,0,0,0,0
gene-kmt2e|kmt2e,58,54,166,94,63,66,86,65,67,67
gene-LOC110961079|LOC110961079,51,9,32,16,27,15,53,16,26,25
gene-trnat-cgu-18|trnat-cgu,0,0,0,0,0,0,0,0,0,0
gene-anapc1|anapc1,19,19,16,15,38,0,11,9,10,11
gene-cunh11orf58|cunh11orf58,53,56,35,52,49,26,58,92,84,71
gene-LOC110954094|LOC110954094,9,3,8,4,17,5,6,2,4,11
gene-LOC110960855|LOC110960855,0,0,0,0,0,0,0,0,0,0
gene-LOC110951233|LOC110951233,333,382,457,329,413,210,290,257,286,235
gene-LOC110947017|LOC110947017,0,0,0,0,0,0,0,0,0,0
gene-pigw|pigw,8,4,17,5,17,8,0,9,3,8
gene-LOC110965341|LOC110965341,7,0,0,0,0,3,2,0,0,0
gene-slc1a5|slc1a5,71,77,244,60,82,56,165,83,210,114
gene-rasef|rasef,0,0,0,0,0,2,2,0,0,0
gene-dbf4|dbf4,0,0,12,6,19,2,0,0,0,3
gene-LOC110971941|LOC110971941,5,7,6,3,0,0,4,6,0,1
gene-LOC110968004|LOC110968004,0,0,0,0,0,0,0,0,2,0
gene-LOC110964375|LOC110964375,42,43,64,38,18,25,24,16,36,45
gene-ndufc1|ndufc1,99,122,80,48,86,77,51,94,56,34
gene-LOC110959594|LOC110959594,41,42,29,44,77,9,21,15,22,37
gene-olig3|olig3,0,0,0,0,0,0,0,0,0,0
gene-LOC110972099|LOC110972099,0,0,0,0,0,0,0,0,0,0
gene-LOC110971702|LOC110971702,11,13,12,9,0,20,9,0,5,8
gene-LOC110967357|LOC110967357,0,0,0,0,0,0,0,0,0,0
gene-LOC110956596|LOC110956596,24,28,23,30,27,21,35,31,37,39
gene-hspb6|hspb6,6,11,14,10,7,7,7,0,46,7
gene-diras1|diras1,2,0,0,0,0,0,0,0,0,0
gene-sdhaf1|sdhaf1,14,24,21,30,43,80,95,102,84,95
gene-LOC110957089|LOC110957089,0,0,0,0,0,0,0,0,0,0
gene-LOC110965666|LOC110965666,51,55,28,50,37,31,27,13,12,8
gene-LOC110945500|LOC110945500,23,21,37,21,28,15,19,26,25,29
gene-tlr3|tlr3,68,51,38,14,27,22,33,59,52,28
gene-LOC110972058|LOC110972058,0,2,0,0,0,0,0,0,0,0
gene-LOC110959494|LOC110959494,0,2,6,4,2,0,0,0,0,0
gene-LOC110967266|LOC110967266,0,2,0,0,3,0,0,0,0,0
gene-nup37|nup37,43,24,25,37,37,43,36,67,52,50
gene-LOC110950988|LOC110950988,38,70,92,72,84,32,44,49,48,47
gene-LOC110961799|LOC110961799,0,0,0,0,0,0,0,0,0,0
gene-LOC110954712|LOC110954712,42,43,24,36,36,5,24,69,51,44
gene-LOC110965245|LOC110965245,7,9,9,14,3,9,4,3,6,4
gene-LOC110968205|LOC110968205,7,12,24,25,25,11,10,17,20,19
gene-trnaq-cug-29|trnaq-cug,0,0,0,0,0,0,0,0,0,0
gene-LOC110955967|LOC110955967,0,0,0,0,0,0,0,0,0,0
gene-LOC110945509|LOC110945509,0,0,0,0,0,0,0,0,0,0
gene-LOC110960695|LOC110960695,0,0,0,0,2,0,0,0,0,3
gene-LOC110958186|LOC110958186,0,0,0,0,0,0,2,0,0,0
gene-rbp7|rbp7,0,2,0,0,0,0,0,0,0,0
gene-LOC110959551|LOC110959551,0,0,0,0,0,0,0,0,0,0
gene-LOC110964495|LOC110964495,0,0,0,0,0,0,0,0,0,0
gene-LOC110946552|LOC110946552,0,0,0,0,0,0,0,0,0,0
gene-LOC110965570|LOC110965570,7,0,5,4,3,0,4,4,6,9
gene-LOC110953637|LOC110953637,0,0,0,0,0,0,0,0,0,0
gene-LOC110957719|LOC110957719,0,0,0,0,0,2,0,0,0,0
gene-LOC110961257|LOC110961257,0,0,0,0,0,0,0,0,0,0
gene-LOC110948095|LOC110948095,0,0,0,0,0,0,0,0,0,0
gene-LOC110947020|LOC110947020,0,0,0,2,0,0,0,0,0,0
gene-snap25|snap25,32,17,5,22,6,4,0,15,8,0
gene-LOC110945360|LOC110945360,0,0,0,0,0,0,0,0,0,0
gene-LOC110965345|LOC110965345,2,0,0,0,0,0,0,0,0,0
gene-LOC110966169|LOC110966169,0,2,0,2,2,0,0,0,0,0
gene-LOC110946103|LOC110946103,1,2,1,2,0,0,0,0,0,1
gene-LOC110950037|LOC110950037,0,0,0,2,0,0,0,0,0,0
gene-LOC110950969|LOC110950969,0,0,1,0,3,2,0,0,0,0
gene-fbxw5|fbxw5,26,33,26,39,49,60,51,91,87,50
gene-wdr20|wdr20,39,52,79,65,67,58,61,61,62,57
gene-glra2|glra2,0,0,0,0,0,0,0,0,0,0
gene-LOC110971794|LOC110971794,0,0,0,0,2,0,0,0,0,3
gene-adgrb1|adgrb1,0,4,2,6,0,0,0,0,0,0
gene-LOC110949799|LOC110949799,0,0,0,0,0,0,0,0,0,0
gene-hdhd3|hdhd3,35,110,63,51,35,32,30,52,66,50
gene-LOC110966360|LOC110966360,0,0,0,0,0,0,0,0,0,0
gene-LOC110945482|LOC110945482,510,2581,2461,3513,2305,3305,1384,1736,1600,1316
gene-LOC110964708|LOC110964708,0,5,2,2,2,0,0,0,0,3
gene-slc35f6|slc35f6,112,95,112,113,107,36,34,149,57,35
gene-fdft1|fdft1,201,112,466,68,105,42,2164,54,1186,2719
gene-spred3|spred3,0,0,0,0,0,0,0,0,2,0
gene-akap12|akap12,228,222,185,120,57,108,35,51,40,88
gene-etnk1|etnk1,72,80,170,100,105,86,143,130,86,61
gene-LOC110966859|LOC110966859,0,0,0,0,0,0,0,0,0,0
gene-adam23|adam23,11,19,10,23,23,8,10,15,6,8
gene-ppp1r12a|ppp1r12a,49,45,68,55,46,37,28,42,50,46
gene-ptpmt1|ptpmt1,32,46,44,44,50,36,52,86,141,86
gene-LOC110969916|LOC110969916,0,0,0,0,0,0,0,0,0,0
gene-LOC110956825|LOC110956825,0,0,0,0,2,0,0,0,0,0
gene-LOC110972826|LOC110972826,0,0,0,0,0,0,0,0,0,1
gene-LOC110946066|LOC110946066,1,4,2,3,4,1,3,2,0,1
gene-LOC110970325,0,0,0,0,0,0,0,0,0,0
gene-ptpre|ptpre,33,31,50,23,69,19,15,11,23,17
gene-depdc7|depdc7,200,110,45,43,29,5,2,0,0,7
gene-LOC110953831|LOC110953831,0,8,7,11,3,11,0,9,10,14
gene-LOC110966092|LOC110966092,26,11,35,22,27,29,22,4,6,15
gene-LOC110949634|LOC110949634,11,10,0,2,11,15,9,13,11,16
gene-LOC110955262|LOC110955262,38,36,19,33,20,9,20,74,29,43
gene-LOC110946377|LOC110946377,59,69,71,62,39,16,55,120,83,120
gene-LOC110970584|LOC110970584,0,0,0,5,0,0,0,0,0,0
gene-LOC110952595|LOC110952595,0,0,0,0,0,0,0,0,0,0
gene-LOC110945668|LOC110945668,57,75,101,51,95,96,58,69,70,42
gene-LOC110970782|LOC110970782,0,0,0,0,0,0,0,0,0,0
gene-LOC110970175|LOC110970175,0,0,0,0,1,0,0,0,0,0
gene-tcea1|tcea1,65,81,106,66,138,122,127,162,182,177
gene-LOC110972591|LOC110972591,319,313,279,283,315,164,162,165,112,64
gene-LOC110965777|LOC110965777,45,106,56,53,60,26,34,61,33,22
gene-LOC110945805|LOC110945805,82,96,91,101,113,108,59,82,103,63
gene-LOC110945369|LOC110945369,164,65,231,43,77,61,147,117,116,130
gene-LOC110958380|LOC110958380,0,3,7,4,0,10,6,0,0,0
gene-LOC110968635|LOC110968635,21,15,7,16,6,0,3,0,0,0
gene-zbtb1|zbtb1,30,42,85,67,87,55,69,54,81,61
gene-LOC110970914|LOC110970914,6,6,0,2,7,4,2,4,5,15
gene-lhfpl3|lhfpl3,0,4,0,0,2,0,0,0,0,0
gene-trnar-ccg-4|trnar-ccg,0,0,0,0,0,0,0,0,0,0
gene-arsb|arsb,334,278,214,233,203,94,87,140,79,68
gene-LOC110960758|LOC110960758,0,0,0,0,0,0,0,0,0,0
gene-LOC110946351|LOC110946351,42,26,5,10,12,0,7,10,0,5
gene-LOC110971041|LOC110971041,15,7,13,8,4,0,0,5,3,1
gene-LOC110970146|LOC110970146,5,0,0,0,0,3,0,0,0,2
gene-LOC110957830|LOC110957830,0,0,0,0,0,0,0,0,0,0
gene-LOC110962428|LOC110962428,18,3,8,14,31,0,0,2,2,3
gene-rmnd5b|rmnd5b,80,114,154,176,197,83,139,203,178,145
gene-tyk2|tyk2,144,204,213,108,167,134,231,281,286,234
gene-LOC110951000|LOC110951000,29,41,53,32,33,69,32,21,38,25
gene-LOC110966956|LOC110966956,0,0,0,0,0,0,0,0,0,0
gene-rasgef1c|rasgef1c,6,9,12,8,6,4,5,4,0,4
gene-LOC110968592|LOC110968592,3,3,4,3,1,1,0,0,2,1
gene-LOC110954530|LOC110954530,5,0,0,2,0,4,4,0,0,0
gene-LOC110948226|LOC110948226,61,54,54,47,66,48,44,29,41,26
gene-LOC110972921|LOC110972921,0,0,6,0,0,0,0,0,4,0
gene-kmt2a|kmt2a,46,38,62,57,57,75,68,97,92,113
gene-eif3i|eif3i,608,680,790,646,872,821,736,1094,953,1017
gene-pdcd11|pdcd11,25,45,86,39,93,165,286,378,485,477
gene-LOC110967404|LOC110967404,0,0,0,0,0,0,0,0,0,0
gene-mag|mag,0,0,2,0,0,0,0,0,0,0
gene-trnaw-cca-4|trnaw-cca,0,0,0,0,0,0,0,0,0,0
gene-LOC110949907|LOC110949907,0,0,2,0,0,0,0,0,0,0
gene-LOC110956382|LOC110956382,0,0,0,2,4,0,0,0,0,0
gene-megf11|megf11,0,0,0,0,0,0,0,0,0,0
gene-LOC110965038|LOC110965038,11,5,5,9,3,3,6,7,4,4
gene-LOC110954766|LOC110954766,0,0,0,0,0,0,0,0,0,0
gene-trnay-gua-15|trnay-gua,0,0,0,0,0,0,0,0,0,0
gene-tmem94|tmem94,80,97,169,150,123,114,76,121,61,59
gene-LOC110951807|LOC110951807,681,357,443,345,452,291,376,483,403,368
gene-LOC110958373|LOC110958373,0,0,0,0,0,4,0,0,0,0
gene-six6|six6,0,0,0,0,0,0,0,0,2,0
gene-LOC110954621|LOC110954621,0,0,0,0,0,0,0,2,0,0
gene-LOC110964599|LOC110964599,59,52,100,81,120,69,92,87,99,106
gene-LOC110971462|LOC110971462,0,0,0,0,0,0,0,0,0,0
gene-chordc1|chordc1,39,87,117,70,101,150,275,319,272,271
gene-LOC110963327|LOC110963327,3,0,0,6,0,0,0,0,0,0
gene-LOC110956580|LOC110956580,22,30,32,32,33,44,32,44,33,41
gene-LOC110963787|LOC110963787,61,12,27,69,109,13,3,3,9,4
gene-LOC110946801|LOC110946801,15,10,16,17,20,27,20,30,43,31
gene-LOC110969690|LOC110969690,556,251,190,184,121,8,20,9,8,10
gene-trnaw-cca-14|trnaw-cca,0,0,0,0,0,0,0,0,0,0
gene-LOC110946898|LOC110946898,4,3,3,6,5,0,0,3,4,2
gene-iba57|iba57,24,31,13,29,29,17,13,44,41,21
gene-otx2|otx2,0,0,0,0,0,0,0,0,0,0
gene-LOC110964817|LOC110964817,102,160,147,124,214,102,146,232,156,167
gene-hdac2|hdac2,134,97,169,148,167,101,156,119,139,148
gene-LOC110971157|LOC110971157,383,410,463,322,576,281,351,522,373,323
gene-LOC110956929|LOC110956929,0,0,0,0,0,0,0,0,0,0
gene-epb41l3|epb41l3,86,49,56,51,98,64,50,68,75,57
gene-LOC110963538|LOC110963538,0,0,0,0,0,0,0,0,0,0
gene-rpl23|rpl23,8646,10371,5885,9817,8318,9119,7246,7558,7112,6266
gene-LOC110945825|LOC110945825,3,0,0,0,0,8,1,0,0,0
gene-LOC110971281|LOC110971281,0,0,0,0,0,0,0,0,0,0
gene-LOC110948639|LOC110948639,0,0,0,0,0,0,0,0,0,0
gene-slc16a10|slc16a10,528,274,191,188,189,107,128,160,86,73
gene-fto|fto,42,21,14,33,10,14,9,11,14,7
gene-LOC110964768|LOC110964768,0,0,0,0,0,0,0,0,0,0
gene-plcb2|plcb2,0,0,0,0,0,0,0,0,0,0
gene-nat10|nat10,22,21,41,31,49,71,109,174,228,219
gene-LOC110947670|LOC110947670,5,1,1,0,0,2,4,3,5,2
gene-aasdhppt|aasdhppt,16,11,19,13,31,27,40,77,28,41
gene-edf1|edf1,2967,2358,2770,1810,3176,2557,3345,4539,3623,3070
gene-fzd9|fzd9,128,41,22,34,37,10,8,38,9,27
gene-LOC110957901|LOC110957901,69,82,135,114,99,44,60,114,132,94
gene-LOC110972063|LOC110972063,14,25,31,24,37,52,57,94,77,88
gene-LOC110967875|LOC110967875,0,0,0,0,0,0,0,0,0,0
gene-LOC110969000|LOC110969000,0,0,0,0,0,0,0,0,0,0
gene-LOC110955585,0,0,0,0,0,0,0,0,0,0
gene-LOC110957687|LOC110957687,56,70,25,33,43,4,11,16,8,16
gene-LOC110945328|LOC110945328,263,162,210,168,149,135,149,136,136,168
gene-trnap-ugg-7|trnap-ugg,0,0,0,0,0,0,0,0,0,1
gene-LOC110971136|LOC110971136,1674,1384,1829,1221,1347,2238,959,1662,1049,521
gene-LOC110955815|LOC110955815,16,19,25,11,21,17,12,3,8,6
gene-LOC110957912|LOC110957912,0,0,0,0,0,2,0,0,0,2
gene-LOC110958217|LOC110958217,0,0,0,0,0,0,0,0,0,0
gene-atg16l1|atg16l1,147,183,163,167,166,143,159,240,172,194
gene-LOC110962543|LOC110962543,0,5,0,0,0,13,0,0,0,7
gene-LOC110960221|LOC110960221,0,0,0,0,0,0,0,0,0,0
gene-LOC110961396|LOC110961396,0,6,0,3,0,8,0,0,7,5
gene-LOC110959037|LOC110959037,0,0,0,0,0,0,2,0,0,0
gene-LOC110971238|LOC110971238,0,0,0,0,0,0,0,0,0,0
gene-chrnd|chrnd,9,7,8,15,22,5,0,0,2,0
gene-ptrhd1|ptrhd1,60,111,47,64,71,49,44,69,28,30
gene-LOC110969933|LOC110969933,4,11,7,14,7,10,9,13,9,8
gene-LOC110957273|LOC110957273,574,707,700,703,1197,2429,1308,761,1102,1133
gene-LOC110954040|LOC110954040,205,204,96,203,182,48,64,103,60,51
gene-mcmbp|mcmbp,42,31,24,28,29,46,83,101,81,74
gene-lbr|lbr,63,39,42,84,106,28,26,52,48,48
gene-klhl26|klhl26,22,37,15,32,46,25,23,23,31,12
gene-nrap|nrap,91,108,146,217,452,93,206,143,30,92
gene-LOC110958761|LOC110958761,0,0,0,0,0,0,0,0,2,0
gene-cops2|cops2,162,160,169,151,186,82,70,177,87,79
gene-LOC110950961|LOC110950961,10,0,0,2,3,0,2,0,0,0
gene-LOC110951038|LOC110951038,1070,269,203,573,326,79,62,52,78,79
gene-slc38a10|slc38a10,74,68,104,75,86,88,168,303,386,390
gene-LOC110961273|LOC110961273,0,0,0,0,1,0,0,0,0,0
gene-bicc1|bicc1,2,0,3,7,0,0,5,2,0,3
gene-LOC110946735|LOC110946735,4,0,2,3,5,6,4,5,2,4
gene-LOC110971663|LOC110971663,0,3,0,0,0,0,0,0,0,0
gene-cdkn2d|cdkn2d,6,5,13,7,14,16,10,24,21,10
gene-LOC110949777|LOC110949777,21,9,0,2,10,0,0,2,2,8
gene-LOC110950467|LOC110950467,0,3,6,0,9,5,3,0,3,5
gene-LOC110957405|LOC110957405,0,0,0,0,0,0,0,0,0,0
gene-ddrgk1|ddrgk1,412,587,405,309,452,521,674,663,678,484
gene-acss3|acss3,10,7,9,14,15,4,0,5,0,0
gene-stx6|stx6,19,10,33,33,31,0,19,14,25,31
gene-LOC110971301|LOC110971301,0,0,0,2,0,0,0,0,0,0
gene-LOC110959182|LOC110959182,108,122,154,121,192,112,262,357,361,312
gene-LOC110971910|LOC110971910,0,0,0,0,0,0,0,0,0,0
gene-lox|lox,0,0,0,0,0,0,0,0,0,0
gene-LOC110972653|LOC110972653,0,0,0,0,0,2,0,5,0,0
gene-LOC110954902|LOC110954902,0,0,0,0,0,0,0,0,0,0
gene-LOC110972528|LOC110972528,20,18,7,10,5,3,7,9,7,7
gene-LOC110969828|LOC110969828,0,0,0,0,0,0,0,0,0,0
gene-piga|piga,17,33,7,23,24,23,20,24,45,34
gene-mogs|mogs,188,243,450,246,338,245,709,1155,1053,998
gene-LOC110972098|LOC110972098,8,13,6,9,13,16,4,5,5,5
gene-LOC110968803|LOC110968803,17,12,20,16,21,31,40,23,23,18
gene-LOC110948893|LOC110948893,0,0,0,0,0,0,0,0,0,0
gene-LOC110955524|LOC110955524,38,30,14,35,6,6,4,8,7,5
gene-LOC110956350|LOC110956350,52,37,50,30,33,0,8,17,22,20
gene-LOC110961148|LOC110961148,7295,9161,7926,7078,7675,7932,9996,11009,7518,6390
